Region,State,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Eastern,VA,NA,1.39,1.41,1.19,1.1,0.93,1.17,1.02,0.96,0.93,0.8,0.78,0.66,0.73,0.72,0.63,0.83,0.5,0.54,0.52,0.46,0.41,0.43,0.4,0.41,0.38,0.35,0.3,0.29,0.31,0.26,0.27,0.25,0.21,0.21,0.21,0.2,0.18,0.17,0.16,0.16,0.13,0.13,0.14,0.12,0.13,0.12,0.1,0.09
Eastern,WV,1.54,1.54,1.43,1.39,1.45,1.37,1.32,1.32,1.26,1.2,1.09,1.17,1.12,1.18,1.11,1.08,1.04,1,0.99,0.97,0.94,0.91,0.93,0.87,0.86,0.83,0.82,0.84,0.78,0.77,0.74,0.74,0.72,0.69,0.67,0.68,0.64,0.62,0.61,0.61,0.6,0.58,0.56,0.57,0.56,0.52,0.53,0.49,0.49
Central,IL,NA,NA,0.23,0.46,0.41,0.3,0.43,0.34,0.21,0.29,0.46,0.31,0.24,0.45,0.28,0.79,0.39,0.75,0.62,1.14,0.34,0.54,0.27,0.57,0.35,0.48,0.29,0.23,0.28,0.23,0.28,0.36,0.27,0.35,0.26,0.61,0.65,0.18,0.41,0.19,0.2,0.17,0.2,0.18,0.11,0.11,0.13,0.25,0.13
Central,IN,1.48,1.06,1.03,0.83,1.18,1.07,0.95,0.8,0.82,0.75,0.77,0.94,0.75,0.83,0.59,0.62,0.6,0.58,0.66,0.61,0.54,0.49,0.61,0.58,0.54,0.45,0.44,0.4,0.38,0.37,0.44,0.39,0.35,0.37,0.3,0.29,0.33,0.32,0.27,0.26,0.25,0.25,0.27,0.22,0.23,0.21,0.21,0.2,0.2
Central,MB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.46,5.51,5.73,5.98,5.17,3.73,4.53,4.48,4.8,4.86,4.02,4.76,4.4,5.27,4.49,4.71,4.49,4.77,4.78,5.53,5.19,4.58,4.74,5.37,4.92
Central,MI,7.38,7.33,7.3,6.84,6.9,7.16,8.02,8.04,7.63,7.16,7.7,7.58,7.3,6.43,6.75,5.74,6.51,6.64,6.91,6.47,6.88,6.61,6.67,7.34,5.76,5.84,5.2,5.72,5.48,5.31,6.27,5.27,5.62,5.26,5.38,5.54,5.6,5.45,5.09,5.01,4.71,4.72,4.83,5.24,5.31,5.51,5.27,5.35,5.15
Central,MN,NA,2.9,2.83,3.2,3.03,3.45,4.06,3.63,3.7,3.81,4.04,3.66,4.28,3.73,3.75,3.25,3.25,3.56,3.71,3.72,4.13,3.41,4.1,4,3.37,3.44,3.12,3.19,3.11,2.83,3.27,3.39,3.82,3.49,2.95,3.01,3.13,3.47,3.32,3.38,3.04,3.31,3.86,3.83,3.75,3.26,2.83,3.63,4.23
Central,OH,NA,NA,1.61,1.5,1.49,1.37,1.52,1.32,1.49,1.41,1.33,1.2,1.25,1.35,1.17,1.21,1.24,1.15,1.13,1.11,1.18,1.02,1.26,1.16,1.15,1.06,1.05,1.02,1.04,0.91,1.04,0.89,0.93,0.91,0.88,0.85,1.08,0.98,0.94,0.76,0.8,0.92,0.9,0.88,0.85,0.86,0.8,0.86,0.81
Central,ON,8.06,8.92,9.46,8.62,9.41,9.11,9.19,8.76,8.84,9.11,9.34,9.67,9.06,8.28,7.05,7.01,7.01,7.83,8.02,7.86,7.96,8.03,7.6,7.7,7.19,6.96,6.03,6.56,5.43,6.06,6.38,5.9,7.02,6.18,6.36,5.7,6.13,6.45,6.2,6.47,5.56,5.37,5.04,5.61,5.67,5.44,5.39,5.19,5.15
Central,WI,3.5,3.54,4.06,3.84,3.83,4.04,4.09,4.19,3.8,4.21,4.36,4.55,3.7,3.14,3.3,3.16,3.5,3.44,3.93,3.99,3.72,3.8,3.6,3.62,2.94,3.08,2.7,2.79,2.75,2.63,2.81,3.18,2.99,2.89,2.48,2.67,2.72,3.05,2.83,3.25,2.79,2.82,2.85,3.15,3.23,3.27,2.57,2.92,2.95
