Band,Sp. Num.,Species Game Birds::SPEC,Species Game Birds::Species,Replaced Band Translated,Replaced Band Code,B Month,BMonth::VMonth,R Month,RMonth::VMonth,B Day,BDay::VRDay,R Day,RDay::VRDay,B Year,R Year,Hunt. Season Surv.,B Flyway,Region::Flyway,R Flyway,RFly::Flyway,B Region,BRegion::STA,BRegion::State,R Region,RRegion::STA,RRegion::State,B Lat,B Long,B Dir,R Lat,R Long,R Dir,GISBLat,GISBLong,GISRLat,GISRLong,B Coordinate Precision,B Coord Precision::LOCATION_ACCURACY_DESC,R Coordinate Precision,R Coord Precision::LOCATION_ACCURACY_DESC,Status,Status::VStatus,How Obt,How Obt::VHow,Add Info,AI::VAI,Who Reported,Who::VWho,Pres. Cond.,Age,Age::VAGE,Condition::VCondition,Sex,Sex::VSEX,Condition::VBandStatus,Permit,Permits::Permittee,"Why (pre 1994), Report Method (after 1994)",Rept Mthd::VRept Mthd,Band Type Orig,BType::VBtype,BType::VText,R Create date Year,R Create date Month,Band Type Current,BType Current::VBtype,BType Current::VText,Marker_Desc_enc,Marker_Desc_bndg,other_bands
049587042,2280,AMWO,American Woodcock,Original Band,0,04,April,10,October,20,,23,,1962,1962,1,2,Mississippi,2,Mississippi,49,MI,Michigan,49,MI,Michigan,424,842,0,424,842,0,42.75,-84.41667,42.75,-84.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",01,Shot.,00,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",03,4,Local,Dead,0,Unknown,Band status unknown,03110,MICHIGAN DEPARTMENT NATURAL RES MR DONALD AVERS,00,Unknown,11,Aluminum butt-end,old address,1963,03,11,Aluminum butt-end,old address,,,
051364388,2280,AMWO,American Woodcock,Original Band,0,05,May,10,October,07,,99,Unknown day,1994,1994,1,2,Mississippi,2,Mississippi,49,MI,Michigan,49,MI,Michigan,431,842,0,431,841,0,43.25,-84.41667,43.25,-84.25,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",01,Shot.,00,Federal numbered metal band only.,21,Finder,03,4,Local,Dead,0,Unknown,Band status unknown,03110,MICHIGAN DEPARTMENT NATURAL RES MR DONALD AVERS,01,Paper,11,Aluminum butt-end,old address,1996,01,11,Aluminum butt-end,old address,,,
052339152,2280,AMWO,American Woodcock,Original Band,0,05,May,10,October,23,,31,,1964,1964,1,2,Mississippi,2,Mississippi,49,MI,Michigan,49,MI,Michigan,430,823,0,430,823,0,43.08333,-82.58333,43.08333,-82.58333,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",01,Shot.,00,Federal numbered metal band only.,21,Finder,03,1,After Hatch Year,Dead,0,Unknown,Band status unknown,06300,,00,Unknown,11,Aluminum butt-end,old address,1965,04,11,Aluminum butt-end,old address,,,
052394772,2280,AMWO,American Woodcock,Original Band,0,12,December,10,October,21,,24,,1962,1963,2,2,Mississippi,2,Mississippi,42,LA,Louisiana,49,MI,Michigan,302,914,0,444,851,0,30.41667,-91.75,44.75,-85.25,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",01,Shot.,00,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",03,2,Hatch Year,Dead,5,Female,Band status unknown,06669,LA DEPT OF WILDLIFE & FISHERIES MR LARRY A REYNOLDS,00,Unknown,11,Aluminum butt-end,old address,1963,12,11,Aluminum butt-end,old address,,,
052393959,2280,AMWO,American Woodcock,Original Band,0,12,December,10,October,17,,27,,1964,1966,3,2,Mississippi,6,Canada,42,LA,Louisiana,68,ONT,Ontario,304,914,0,423,803,0,30.75,-91.75,42.58333,-80.58333,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",01,Shot.,00,Federal numbered metal band only.,21,Finder,05,2,Hatch Year,Dead,4,Male,Band removed,08810,LOUISIANA COOP FISH&W/L RES UNIT ALAN AFTON,01,Paper,11,Aluminum butt-end,old address,1967,04,11,Aluminum butt-end,old address,,,
052393989,2280,AMWO,American Woodcock,Original Band,0,12,December,02,February,17,,27,,1964,1965,1,2,Mississippi,1,Atlantic,42,LA,Louisiana,27,GA,Georgia,304,914,0,345,850,0,30.75,-91.75,34.91667,-85.08333,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",01,Shot.,00,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",03,2,Hatch Year,Dead,5,Female,Band status unknown,08810,LOUISIANA COOP FISH&W/L RES UNIT ALAN AFTON,00,Unknown,11,Aluminum butt-end,old address,1965,09,11,Aluminum butt-end,old address,,,
052394731,2280,AMWO,American Woodcock,Original Band,0,12,December,94,Hunting Season,21,,99,Unknown day,1962,1963,2,2,Mississippi,2,Mississippi,42,LA,Louisiana,49,MI,Michigan,302,914,0,434,832,0,30.41667,-91.75,43.75,-83.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",01,Shot.,00,Federal numbered metal band only.,21,Finder,03,2,Hatch Year,Dead,5,Female,Band status unknown,06669,LA DEPT OF WILDLIFE & FISHERIES MR LARRY A REYNOLDS,00,Unknown,11,Aluminum butt-end,old address,1963,12,11,Aluminum butt-end,old address,,,
052394929,2280,AMWO,American Woodcock,Original Band,0,12,December,12,December,21,,23,,1962,1962,1,2,Mississippi,2,Mississippi,42,LA,Louisiana,42,LA,Louisiana,302,914,0,301,920,0,30.41667,-91.75,30.25,-92.08333,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",01,Shot.,00,Federal numbered metal band only.,21,Finder,03,2,Hatch Year,Dead,5,Female,Band status unknown,06669,LA DEPT OF WILDLIFE & FISHERIES MR LARRY A REYNOLDS,00,Unknown,11,Aluminum butt-end,old address,1963,05,11,Aluminum butt-end,old address,,,
052394952,2280,AMWO,American Woodcock,Original Band,0,12,December,03,March,21,,11,,1962,1963,1,2,Mississippi,2,Mississippi,42,LA,Louisiana,66,OH,Ohio,302,914,0,394,841,0,30.41667,-91.75,39.75,-84.25,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",00,Found dead.,00,Federal numbered metal band only.,21,Finder,03,1,After Hatch Year,Dead,4,Male,Band status unknown,06669,LA DEPT OF WILDLIFE & FISHERIES MR LARRY A REYNOLDS,00,Unknown,11,Aluminum butt-end,old address,1963,05,11,Aluminum butt-end,old address,,,
054324902,2280,AMWO,American Woodcock,Original Band,0,04,April,01,January,02,,11,,1967,1970,3,6,Canada,2,Mississippi,68,ONT,Ontario,42,LA,Louisiana,440,795,0,303,901,0,44.08333,-79.91667,30.58333,-90.25,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",01,Shot.,00,Federal numbered metal band only.,21,Finder,05,0,Unknown,Dead,4,Male,Band removed,10091,OMNR - MAPLE,01,Paper,11,Aluminum butt-end,old address,1970,04,11,Aluminum butt-end,old address,,,
