Season,Pop,AF,AM,AU,IF,IM,IU,UF,UM,UU,DSS,HIP,AF_Banded,AM_Banded,Imm_Banded,Local_Banded,AF_Recovs,AM_Recovs,Imm_Recovs,Local_Recovs,stamps,hunters,newbands
1968,1,1409,855,75,1118,1163,48,0,0,127,197520,NA,66,56,423,500,9,6,63,24,813797,56608,0
1967,1,1273,842,61,1014,1110,64,0,0,137,244702,NA,16,12,80,243,0,1,2,5,758768,69417,0
1966,1,1296,821,33,944,1019,32,0,0,71,209457,NA,31,18,113,143,6,1,10,2,636470,59606,0
1965,1,971,663,13,727,733,12,0,0,104,182808,NA,36,30,155,93,0,0,1,2,663791,56153,0
1964,1,1402,915,2,1234,1296,5,0,0,3,286058,NA,8,7,29,34,0,1,0,2,571667,73542,0
1963,1,1217,772,4,1185,1221,12,0,0,5,NA,NA,10,9,59,40,0,1,3,2,411981,NA,0
2013,2,3392,2204,10,2446,2636,36,4,20,32,NA,125073,1,1,7,220,0,0,0,2,NA,NA,0.897435897
2012,2,3770,2602,10,2560,2930,34,34,38,38,NA,172867,7,5,12,208,0,0,0,1,NA,NA,0.982248521
2011,2,3768,2372,14,2892,2846,22,12,8,36,NA,154099,5,9,19,183,0,0,0,0,NA,NA,0.976190476
2010,2,4236,2538,16,2680,2840,24,24,38,40,NA,209839,8,6,10,129,0,0,1,1,NA,NA,0.854545455
2009,2,3512,2264,18,2464,2632,38,14,14,50,NA,126549,13,7,36,191,0,0,0,0,NA,NA,0.819277108
2008,2,2888,1890,4,2326,2476,24,10,14,20,NA,209402,13,4,31,114,0,0,0,2,NA,NA,0.971830986
2007,2,3536,1974,10,2168,2234,32,12,8,22,NA,151763,16,11,32,79,0,0,0,0,NA,NA,0.684782609
2006,2,4378,2720,14,2818,2946,30,8,16,30,NA,158538,20,9,54,14,0,0,0,0,NA,NA,0.884210526
2005,2,3404,2322,6,2392,2482,20,8,16,26,NA,183385,46,32,83,39,0,0,1,1,NA,NA,0.908571429
2004,2,2652,1858,0,2082,2192,42,2,16,22,NA,123076,17,15,72,6,0,0,1,0,NA,NA,0.932291667
2003,2,3472,2062,4,2260,2268,20,6,6,8,NA,178316,16,3,49,0,0,0,1,0,NA,NA,0.816091954
2002,2,2880,1944,18,1934,2068,16,8,28,14,NA,142054,4,4,4,25,0,0,0,0,NA,NA,0.578947368
2001,2,2724,1720,8,1862,1870,22,6,16,24,75190,223104,13,7,44,36,0,0,0,1,305793,24493,0.23857868
2000,2,2626,1926,2,1722,1930,14,0,6,12,62695,195834,15,31,64,66,0,0,1,0,298611,22456,0.791044776
1999,2,2900,1980,4,1544,1722,10,2,6,16,80440,258840,17,37,17,138,0,0,0,2,298932,27081,0
1998,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,76330,NA,21,43,41,125,0,0,0,0,305697,26192,0
1997,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,66875,NA,17,12,34,141,0,0,0,4,291829,25692,0
1996,2,1386,901,10,826,887,6,0,0,13,99140,NA,11,2,31,96,0,0,0,2,271439,28861,0
1995,2,1431,839,7,867,928,8,0,0,18,88144,NA,15,6,73,132,0,0,0,4,296841,28533,0
1994,2,1304,728,11,891,972,4,0,0,12,99136,NA,9,14,68,42,0,0,1,0,292600,32511,0
1993,2,806,473,6,567,521,6,0,0,15,81673,NA,30,14,97,131,1,0,2,5,300332,32338,0
1992,2,1704,960,16,987,1117,17,0,0,44,103227,NA,12,6,149,134,0,0,0,3,316656,34949,0
1991,2,1228,973,10,954,1168,7,0,0,42,104018,NA,13,7,74,108,0,1,1,2,326275,38374,0
1990,2,1112,857,10,936,1047,11,0,0,49,104415,NA,19,8,92,108,1,0,1,2,331345,40684,0
1989,2,1443,1029,14,956,1023,12,0,0,20,122904,NA,15,2,68,82,0,0,1,1,342527,40962,0
1988,2,671,422,7,473,569,3,0,0,21,115299,NA,17,9,172,181,0,0,2,2,385660,41840,0
1987,2,1371,907,9,1118,1181,13,0,0,32,162840,NA,23,14,123,227,2,1,0,2,387974,52690,0
1986,2,1151,839,6,945,1172,12,0,0,25,131685,NA,12,8,67,109,0,0,2,3,382422,49602,0
1985,2,1139,797,9,1005,1075,6,0,0,33,128329,NA,20,14,91,72,0,0,0,2,412866,50133,0
1984,2,1553,1105,13,1194,1362,12,0,0,25,168954,NA,6,7,30,17,0,0,0,0,390896,57172,0
1983,2,1786,1342,3,1436,1627,21,0,0,55,156244,NA,8,3,48,21,0,0,1,0,402929,57459,0
1982,2,1642,1049,16,1428,1599,14,0,0,56,176060,NA,4,4,51,48,0,0,0,0,407906,64770,0
1981,2,2150,1891,20,1945,2379,24,0,0,88,240513,NA,9,7,94,35,0,0,3,0,409281,74475,0
1980,2,2236,1555,35,1866,2105,20,0,0,70,228249,NA,13,11,122,119,0,1,3,2,416574,69956,0
1979,2,2386,1605,22,2095,2216,30,0,0,66,263862,NA,29,16,168,123,0,1,7,2,451321,77427,0
1978,2,2682,1759,23,2130,2376,28,0,0,46,280276,NA,33,9,221,216,2,0,3,4,434558,86956,0
1977,2,2982,1962,22,2188,2375,22,0,0,100,270280,NA,38,18,258,231,0,0,6,2,435933,83904,0
1976,2,3457,2492,15,2738,3119,20,0,0,62,321426,NA,39,42,213,57,1,2,3,0,441838,89376,0
1975,2,3777,2404,11,2754,3220,11,0,0,11,314639,NA,71,57,376,32,1,3,12,0,448849,93346,0
1974,2,4232,3045,48,3174,3603,51,0,0,67,354261,NA,126,102,633,24,3,10,20,1,434851,100110,0
1973,2,4396,2904,65,3851,3853,76,0,0,186,331831,NA,251,190,1244,65,9,6,57,0,438477,93694,0
1972,2,3674,2407,86,2734,3061,94,0,0,180,324266,NA,397,264,1538,58,23,17,75,0,501289,87597,0
1971,2,3769,2524,57,3394,3277,51,0,0,81,324266,NA,369,255,1332,31,19,16,77,0,496387,106062,0
1970,2,3255,2162,60,3633,3712,83,0,0,259,319678,NA,257,187,980,36,8,8,59,1,438372,100900,0
1969,2,3613,2672,88,3152,3322,134,0,0,327,296112,NA,327,229,904,0,22,17,77,0,384762,90815,0
1968,2,3643,2578,124,3334,3545,117,0,0,319,286746,NA,173,79,525,0,23,8,55,0,360937,75198,0
1967,2,2914,2188,104,2434,2532,125,0,0,224,251363,NA,138,111,500,11,7,9,36,0,336472,67760,0
1966,2,2135,1590,68,1985,2122,78,0,0,123,190659,NA,120,84,362,17,11,3,28,2,301088,56259,0
1965,2,2407,1654,51,1901,1922,70,0,0,344,193391,NA,72,56,201,4,7,5,14,0,284756,55767,0
1964,2,3047,2040,7,2431,2620,8,0,0,5,166098,NA,74,60,342,11,2,0,14,0,270382,46123,0
1963,2,1794,1179,10,1456,1557,15,0,0,10,NA,NA,116,75,248,50,3,2,7,4,236311,NA,0
