Band,Sp. Num.,Species Game Birds::SPEC,Species Game Birds::Species,Replaced Band Translated,Replaced Band Code,B Month,BMonth::VMonth,R Month,RMonth::VMonth,B Day,BDay::VRDay,R Day,RDay::VRDay,B Year,R Year,Hunt. Season Surv.,B Flyway,Region::Flyway,R Flyway,RFly::Flyway,B Region,BRegion::STA,BRegion::State,R Region,RRegion::STA,RRegion::State,B Lat,B Long,B Dir,R Lat,R Long,R Dir,GISBLat,GISBLong,GISRLat,GISRLong,B Coordinate Precision,B Coord Precision::LOCATION_ACCURACY_DESC,R Coordinate Precision,R Coord Precision::LOCATION_ACCURACY_DESC,Status,Status::VStatus,How Obt,How Obt::VHow,Add Info,AI::VAI,Who Reported,Who::VWho,Pres. Cond.,Age,Age::VAGE,Condition::VCondition,Sex,Sex::VSEX,Condition::VBandStatus,Permit,Permits::Permittee,"Why (pre 1994), Report Method (after 1994)",Rept Mthd::VRept Mthd,Band Type Orig,BType::VBtype,BType::VText,R Create date Year,R Create date Month,Band Type Current,BType Current::VBtype,BType Current::VText,Marker_Desc_enc,Marker_Desc_bndg,other_bands
142325422,2280,AMWO,American Woodcock,Original Band,0,5,May,10,October,17,,31,,1982,1983,2,2,Mississippi,2,Mississippi,49,MI,Michigan,49,MI,Michigan,443,855,0,443,855,0,44.58333,-85.91667,44.58333,-85.91667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",5,4,Local,Dead,0,Unknown,Band removed,3110,MICHIGAN DEPARTMENT NATURAL RES MR DONALD AVERS,1,Paper,11,Aluminum butt-end,old address,1983,12,11,Aluminum butt-end,old address,,,
142330511,2280,AMWO,American Woodcock,Original Band,0,9,September,9,September,14,,26,,1981,1981,1,2,Mississippi,2,Mississippi,35,IN,Indiana,35,IN,Indiana,395,852,0,395,852,0,39.91667,-85.41667,39.91667,-85.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,70,Captured by spotlighting.,22,"State, Provincial, or Federal Official",3,2,Hatch Year,Dead,5,Female,Band status unknown,6377,INDIANA DIVISION OF FISH & WLDLIFE W ADAM PHELPS,2,Check station report (discontinued),11,Aluminum butt-end,old address,1982,12,11,Aluminum butt-end,old address,,,
142330512,2280,AMWO,American Woodcock,Original Band,0,9,September,9,September,15,,23,,1981,1981,1,2,Mississippi,2,Mississippi,35,IN,Indiana,35,IN,Indiana,395,852,0,395,852,0,39.91667,-85.41667,39.91667,-85.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,70,Captured by spotlighting.,24,FWS Parts Collection Survey,3,2,Hatch Year,Dead,5,Female,Band status unknown,6377,INDIANA DIVISION OF FISH & WLDLIFE W ADAM PHELPS,2,Check station report (discontinued),11,Aluminum butt-end,old address,1981,12,11,Aluminum butt-end,old address,,,
142330513,2280,AMWO,American Woodcock,Original Band,0,9,September,9,September,15,,19,,1981,1981,1,2,Mississippi,2,Mississippi,35,IN,Indiana,35,IN,Indiana,395,852,0,395,852,0,39.91667,-85.41667,39.91667,-85.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,70,Captured by spotlighting.,22,"State, Provincial, or Federal Official",3,2,Hatch Year,Dead,4,Male,Band status unknown,6377,INDIANA DIVISION OF FISH & WLDLIFE W ADAM PHELPS,2,Check station report (discontinued),11,Aluminum butt-end,old address,1982,12,11,Aluminum butt-end,old address,,,
142330539,2280,AMWO,American Woodcock,Original Band,0,10,October,10,October,28,,12,,1981,1983,3,2,Mississippi,6,Canada,35,IN,Indiana,68,ONT,Ontario,395,852,0,443,773,0,39.91667,-85.41667,44.58333,-77.58333,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,70,Captured by spotlighting.,27,Canadian Hunter Mail Questionnaire Survey,3,1,After Hatch Year,Dead,5,Female,Band status unknown,6377,INDIANA DIVISION OF FISH & WLDLIFE W ADAM PHELPS,2,Check station report (discontinued),11,Aluminum butt-end,old address,1984,6,11,Aluminum butt-end,old address,,,
142363330,2280,AMWO,American Woodcock,Original Band,0,9,September,5,May,18,,8,,1986,1989,3,2,Mississippi,2,Mississippi,49,MI,Michigan,49,MI,Michigan,460,875,0,465,891,0,46.08333,-87.91667,46.91667,-89.25,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",0,Found dead.,0,Federal numbered metal band only.,21,Finder,5,1,After Hatch Year,Dead,5,Female,Band removed,20987,,1,Paper,11,Aluminum butt-end,old address,1989,5,11,Aluminum butt-end,old address,,,
142363348,2280,AMWO,American Woodcock,Original Band,0,5,May,9,September,12,,19,,1987,1987,1,2,Mississippi,2,Mississippi,49,MI,Michigan,49,MI,Michigan,460,875,0,455,874,0,46.08333,-87.91667,45.91667,-87.75,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,89,"Transmitter. (Obsolete, see 80, 81)",22,"State, Provincial, or Federal Official",5,6,After Second Year,Dead,5,Female,Band removed,20987,,1,Paper,11,Aluminum butt-end,old address,1987,12,11,Aluminum butt-end,old address,,,
142392408,2280,AMWO,American Woodcock,Original Band,0,8,August,10,October,1,,26,,1984,1984,1,2,Mississippi,2,Mississippi,49,MI,Michigan,49,MI,Michigan,460,875,0,460,874,0,46.08333,-87.91667,46.08333,-87.75,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,24,FWS Parts Collection Survey,3,1,After Hatch Year,Dead,5,Female,Band status unknown,20987,,2,Check station report (discontinued),11,Aluminum butt-end,old address,1985,4,11,Aluminum butt-end,old address,,,
142392411,2280,AMWO,American Woodcock,Original Band,0,8,August,10,October,8,,15,,1984,1985,2,2,Mississippi,2,Mississippi,49,MI,Michigan,49,MI,Michigan,460,875,0,460,880,0,46.08333,-87.91667,46.08333,-88.08333,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,21,Finder,5,1,After Hatch Year,Dead,5,Female,Band removed,20987,,1,Paper,11,Aluminum butt-end,old address,1986,5,11,Aluminum butt-end,old address,,,
142392457,2280,AMWO,American Woodcock,Original Band,0,6,June,10,October,6,,7,,1985,1987,3,2,Mississippi,2,Mississippi,49,MI,Michigan,49,MI,Michigan,460,875,0,460,874,0,46.08333,-87.91667,46.08333,-87.75,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,21,Finder,5,5,Second Year,Dead,5,Female,Band removed,20987,,1,Paper,11,Aluminum butt-end,old address,1988,2,11,Aluminum butt-end,old address,,,
